"trending_date","title","channel_title","category_id","publish_time","views","likes","dislikes","comment_count","comments_disabled","ratings_disabled","video_error_or_removed","publish_hour","publish_when","publish_wday","timetotrend"
2022-07-01,"The 2nd Greatest Golf Shot in YouTube History.","gm__golf","Entertainment",2022-06-28 17:00:09,623929,49113,0,2047,FALSE,FALSE,FALSE,17,"3pm to 12am","Tuesday","3"
2022-07-01,"John Cena Returns to RAW | WWE Raw Highlights 6/27/22 | WWE on USA","WWE on USA","Sports",2022-06-28 02:21:13,741803,18530,0,1940,FALSE,FALSE,FALSE,2,"12am to 8am","Tuesday","3"
2022-07-01,"365 DAYS Transforming EVERYTHING In Minecraft! - The ULTIMATE Survival World","TrixyBlox","Gaming",2022-06-28 17:00:12,970495,96211,0,4532,FALSE,FALSE,FALSE,17,"3pm to 12am","Tuesday","3"
2022-07-01,"The Sky Empire! | Empires S2 | Ep.2","SmallishBeans","Gaming",2022-06-29 18:32:08,355212,35829,0,5829,FALSE,FALSE,FALSE,18,"3pm to 12am","Wednesday","2"
2022-07-01,"XG - MASCARA (Official Music Video)","XG","Music",2022-06-29 09:00:14,1959784,151725,0,14641,FALSE,FALSE,FALSE,9,"8am to 3pm","Wednesday","2"
2022-07-01,"Honest Trailers | Obi-Wan Kenobi","Screen Junkies","Film and Animation",2022-06-28 17:00:06,1074718,43643,0,3213,FALSE,FALSE,FALSE,17,"3pm to 12am","Tuesday","3"
2022-07-01,"California Under Fire After Release Of Concealed Carry List","CBS Sacramento","News and Politics",2022-06-29 00:17:13,896197,12397,0,12757,FALSE,FALSE,FALSE,0,"12am to 8am","Wednesday","2"
2022-07-01,"MARIO + RABBIDS SPARKS OF HOPE SHOWCASE","Ubisoft","Gaming",2022-06-29 16:20:27,186915,7947,0,801,FALSE,FALSE,FALSE,16,"3pm to 12am","Wednesday","2"
2022-07-01,"Sadie Sink Shares Her First Date, Stranger Things Friend, Big Purchase & More | Teen Vogue","Teen Vogue","Entertainment",2022-06-28 16:00:04,564111,24561,0,528,FALSE,FALSE,FALSE,16,"3pm to 12am","Tuesday","3"
2022-07-01,"10 Things Stranger Things' Noah Schnapp Can't Live Without | GQ","GQ","Entertainment",2022-06-28 16:00:06,697113,34652,0,1126,FALSE,FALSE,FALSE,16,"3pm to 12am","Tuesday","3"
2022-07-01,"Harley Quinn Season 3 | Official Teaser | HBO Max","HBO Max","Film and Animation",2022-06-28 16:50:07,301415,16543,0,1257,FALSE,FALSE,FALSE,16,"3pm to 12am","Tuesday","3"
2022-07-01,"Koepka, Reed & Perez Tuesday Press Conference 2022 LIV Golf Invitational Series Portland","TenGolf","Sports",2022-06-28 21:35:32,181720,1005,0,1395,FALSE,FALSE,FALSE,21,"3pm to 12am","Tuesday","2"
2022-07-01,"Country Music TikTok House","Jarvis Johnson! GOLD","Entertainment",2022-06-28 22:44:23,280611,23753,0,1489,FALSE,FALSE,FALSE,22,"3pm to 12am","Tuesday","2"
2022-07-01,"51 adult migrants found dead in tractor-trailer in San Antonio, survivors hospitalized (Updated)","FOX 4 Dallas-Fort Worth","News and Politics",2022-06-28 02:32:11,500407,6388,0,4250,FALSE,FALSE,FALSE,2,"12am to 8am","Tuesday","3"
2022-07-01,"the eagle secret | tileman #11","Settled","Gaming",2022-06-28 21:12:45,416765,20625,0,946,FALSE,FALSE,FALSE,21,"3pm to 12am","Tuesday","2"
2022-07-01,"When your Roommate is Asian","Steven He","Comedy",2022-06-28 15:46:13,1522401,135192,0,4036,FALSE,FALSE,FALSE,15,"8am to 3pm","Tuesday","3"
2022-07-01,"A new friend","Liam Thompson","Entertainment",2022-06-29 11:18:12,259455,29984,0,5571,FALSE,FALSE,FALSE,11,"8am to 3pm","Wednesday","2"
2022-07-01,"I Fooled My Friend as BLOOD VILLAGER in Minecraft","Eystreem","Gaming",2022-06-29 02:00:04,1395946,38419,0,2154,FALSE,FALSE,FALSE,2,"12am to 8am","Wednesday","2"
2022-07-01,"The Summer I Turned Pretty Cast Finds Out Which Characters They Really Are","BuzzFeed Celeb","Entertainment",2022-06-28 21:19:09,431399,20474,0,380,FALSE,FALSE,FALSE,21,"3pm to 12am","Tuesday","2"
2022-07-01,"China's Major Tax Problem","Economics Explained","Education",2022-06-28 12:52:50,831862,25427,0,2369,FALSE,FALSE,FALSE,12,"8am to 3pm","Tuesday","3"
2022-07-01,"Bretman Rock & His Sister Hit The Road To Recovery | Ep. 1 | MTV's Following: Bretman Rock Season 2","MTV","Entertainment",2022-06-27 20:00:09,464528,27491,0,1146,FALSE,FALSE,FALSE,20,"3pm to 12am","Monday","3"
2022-07-01,"UFC 276 Embedded: Vlog Series - Episode 3","UFC - Ultimate Fighting Championship","Sports",2022-06-29 17:52:48,805358,15430,0,2181,FALSE,FALSE,FALSE,17,"3pm to 12am","Wednesday","2"
2022-07-01,"Brawl Stars Animation - The Deep Sea Brawl!","Brawl Stars","Gaming",2022-06-29 05:35:02,1527371,103649,0,4272,FALSE,FALSE,FALSE,5,"12am to 8am","Wednesday","2"
2022-07-01,"j-hope 'MORE' Official Teaser","HYBE LABELS","Music",2022-06-29 15:00:03,5572148,1433842,0,116374,FALSE,FALSE,FALSE,15,"8am to 3pm","Wednesday","2"
